PDGF_RECEPTOR_SIGNALING_NETWORK|5159	5154	56034	5156	5155	80310
DIRECT_P53_EFFECTORS|54541	2232	8797	8812	29102	133746	5268	1871	3486	2876	467	9448	665	25946	7249	79370	8626	596	255488	3169	7157	834	4313	57103	7161	8793	64065	6667	27113	5564	7306	10153	4801	1870	29108	5111	4292	578	6597	1462	1843	3725	10498	6880	64326	51065	27244	1434	3663	639	174	3304	4193	3732	4800	900	4233	5728	333926	55240	7027	857	6890	6376	5457	891	355	1820	8626	3082	5371	1655	624	3090	9540	7039	1647	324	54487	5054	4802	7832	4068	3276	597	581	51499	5925	7421	28984	2648	8295	8795	84883	3064	2033	10397	1643	4436	23368	843	9518	55367	6696	3976	8794	839	1956	1263	94241	50484	55800	6591	22943	1509	1969	80781	25898	57060	2810	599	1869	5458	604	637	6273	5395	598	1847	317	1026	1387	7159	93624	3066	4170	1907	58484	5366
ATYPICAL_NF-KAPPAB_PATHWAY|5290	4790	1460	6850	1457	5295	23145	1432	3932	4792	5970	6714	602	3551	409	5966	1459
INTEGRINS_IN_ANGIOGENESIS|6696	1305	1299	3791	5290	1285	7414	841	1301	3667	1292	3611	1307	50848	1302	1289	387	1291	2185	27329	10451	1286	25960	10085	207	5298	2247	5286	1288	1436	7094	1298	1295	5829	1281	1287	7048	1303	1277	5594	1294	1293	1280	1435	5297	1278	1296	1300	9564	7373	2335	5595	1306	1282	3320	5295	6198	7422	1297	5879	3479	5781	1290	6714	3685	5747	867	1027	1308	4240	6093	3480	6382	3690	7448
EPO_SIGNALING_PATHWAY|5781	2056	2885	596	4790	867	7006	1399	6464	5336	9021	6776	598	1432	10019	6777	7225	5335	5599	8660	3717	2057	3635	695	7410	5906	2549	6772	2889	4067	5295	6654	5777	3265
SIGNALING_MEDIATED_BY_P38-GAMMA_AND_P38-DELTA|5603	595	3925	5585	5606	5608	6300	4137	6640	29904	51776
CALCIUM_SIGNALING_IN_THE_CD4+_TCR_PATHWAY|5530	959	11261	4775	3726	5451	1827	9495	5743	2353	23523	55509	5534	5532	3558	356	4772	4773	3559	3562	3725	1437	808	3565	8061	2280	1390	5566	3458	10231
EPHRINB-EPHB_PATHWAY|1947	2047	1948	2049	2048	2050
E-CADHERIN_SIGNALING_IN_THE_NASCENT_ADHERENS_JUNCTION|3682	7082	26999	2889	2017	1398	7074	23396	1495	4301	10163	3728	1460	1739	1500	1457	8826	3695	27252	5290	382	55740	387	5879	1459	1499	5295	6714	4830	10006	5908	10787	5906	595	999	8907	7410	998	207
EPHA_FORWARD_SIGNALING|2045	146850	1942	1969	5335	4067	22899	1943	10451	6714	640	2042	7525	1020	7410	2046	2041	1944	1946	23533	1399	285220	25791	867	5294	2268	3055	2043	387	2044	6093	3932	2534	1398
SYNDECAN-2-MEDIATED_SIGNALING_EVENTS|51399	581	7040	5595	3909	4763	4313	2035	3827	2048	7430	6714	387	10399	2335	6386	23495	6383	5921	3265	5594	8573	284217	5566	3688	5599	3673	3576	858	3678	5580	1437	836
P53_PATHWAY|5300	2932	5601	7528	1453	1387	91875	28996	1434	1454	63970	1111	1456	4738	53944	56950	10419	900	1432	5599	25	11186	8445	7321	64326	207	1455	1029	1616	7157	2033	84148	80204	1017	4193	9349	10848	6125	10524	545	4194	1877	80854	7874	890	8850	10155	10075	5515	5580	6135	6502	5524	11200	1452	25898	472	8493	387893
ARF1_PATHWAY|920	1212	5338	50807	8394	1211	23647	375	55738	10945	5879	1173	1314	8615	9570	160	9266	23163	8729
RHOA_SIGNALING_PATHWAY|5608	57591	5585	5586	8394	6416	9475	387	5337	6550	7430	5606	11113	3688	5590	7414	5728	1027	2151	2353	1072	6548	1729	286205	1386	4478	5599	11113	6456	8395	6093	6722	7094	23396	50855	3491	3725	5962	6300	998	4659	58	5338	3984	4633	3985
REGULATION_OF_RHOA_ACTIVITY|57522	64333	4983	7984	396	10160	1027	10276	4168	64283	7204	23365	55200	55160	395	9639	22899	4650	23263	29	50650	387	398	9138	7409	613	7410	50619	84033	11214	115557	64411	9828	10395	2909	116985	9181	9826	25791	393	23779	397	394	1894	23370	10451
LKB1_SIGNALING_EVENTS|64223	84446	5571	10971	92335	2011	57787	51765	1385	150094	4137	2099	7531	200186	4089	3320	7249	51719	2810	11140	5566	55437	1509	7529	2475	5564	57521	114790	7430	5562	23387	84335	7532	7157	5664	4609	5563	6794	23235	2932	7534	2118	6604	9024	7533	7248	4133
SIGNALING_EVENTS_MEDIATED_BY_PRL|3672	5875	898	5595	5876	1017	10376	389	22809	8073	6093	6714	9564	1958	387	3688	11156	5594	7803	890	1026	5879	183
CELLULAR_ROLES_OF_ANTHRAX_TOXIN|3361714	6416	5604	7124	5241	3553	834	7412	728358	5605	84168	3361711	118429	5594	5595	808	5606	22861	3606	3361726	5609	5608
S1P2_PATHWAY|2771	5879	2775	2775	9630	1432	10672	3725	2781	387	5599	1003	2353	2002	5594	2769	2768	2767	5595	5058	2770	3667	9294	2776	2773
VEGFR1_SPECIFIC_SIGNALS|3091	3320	207	7423	5335	5594	5579	7422	4846	5595	8829	5921	867	23607	5578	5781	857	5290	25759	7422	5295	8828	5228	4690	2321	5170	808	5566
DNA-PK_PATHWAY_IN_NONHOMOLOGOUS_END_JOINING|5591	2547	200558	1457	7520	27343	54840	1459	7518	1791	3981	64421	79840	11284	1460	27434
UNCOATING_OF_THE_INFLUENZA_VIRION|956527	956535	956531	956536	956534	956532
SYNTHESIS_OF_UDP-N-ACETYL-GLUCOSAMINE|64841	6675	5238
AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1|7314	5689	5706	5696	5710	5687	5713	10197	5721	5708	5711	5719	5691	5714	5704	9861	10213	5702	5698	5690	5717	5695	5693	9491	5716	5685	5686	7157	64326	5718	5701	5699	5684	5715	472	5692	5700	5705	5720	5682	5707	5694	5683	5688	5709
TACHYKININ_RECEPTORS_BIND_TACHYKININS|6869	6866	6865	6863	6870
PKA-MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS|5207	51085
PYRIMIDINE_BIOSYNTHESIS|7372	1854	790	7298	1635	1723
INACTIVATION_OF_APC-C_VIA_DIRECT_INHIBITION_OF_THE_APC-C_COMPLEX|8697	51434	10393	51433	9184	7321	991	701	996	29882	246184	8881	29945	7324	11065	4085	64682	51529
RAF_ACTIVATION|5894	7529
DNA_REPLICATION_INITIATION|5427	5426	5422	5558	5557	23649
PKA_ACTIVATION|808
INHIBITION_OF_HOST_MRNA_PROCESSING_AND_RNA_SILENCING|956533	10898	8106
CONJUGATION_OF_SALICYLATE_WITH_GLYCINE|348158	10249
ACTIVATION_OF_CHAPERONES_BY_IRE1ALPHA|1200	9114	7494	4800	3309	37	2081
REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON-LIKE_PEPTIDE-1|9495	2641	2740	2778	8826
SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH-CONE_COLLAPSE|4637	10507	3984	5364	2064	27289
P53-INDEPENDENT_DNA_DAMAGE_RESPONSE|993
DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE|6616	6812	6571	5864	6844	22999	10815	6804	6857
TRANSPORT_OF_NUCLEOTIDE_SUGARS|347734	23169	7355	84912	11046	23443	10559	55343
ALTERNATIVE_COMPLEMENT_ACTIVATION|1675	629	718
SODIUM-COUPLED_SULPHATE,_DI-_AND_TRI-CARBOXYLATE_TRANSPORTERS|9058	26266	64849	6561	284111
POST-CHAPERONIN_TUBULIN_FOLDING_PATHWAY|6903	6902	6904	6905	1155
DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT|4128	6531	1312
FASL-_CD95L_SIGNALING|8772	355	843	356	841
HISTIDINE_CATABOLISM|131669	10841	144193	3034
GLUCOCORTICOID_BIOSYNTHESIS|1589	1586	1584	3290
PROPIONYL-COA_CATABOLISM|84693	4594
PEPTIDE_CHAIN_ELONGATION|1938	1915
PYRIMIDINE_CATABOLISM|1807	1890	51251	51733	4907	84618	56953	30833	7378	1806
GLUCOSE_METABOLISM|5207	5230	7167	2821
GENERATION_OF_SECOND_MESSENGER_MOLECULES|9402	3937	7535	5335	4690	27040	7454	2533	3702
SNRNP_ASSEMBLY|10073	50628	6628	9688	11218	79833	348995	11097	7175	10419	129401	4928	10762	6635	5903	6637	9631	8021	96764	23225	8480	79902	6632	9883	23511	6633	6634	9972	22916	8086	6636	51808	79084	81929	23165	6607	4927	8487	79760	4686	1207	25929
REMOVAL_OF_LICENSING_FACTORS_FROM_ORIGINS|5706	5700	81620	5696	5685	5686	5698	5713	7314	4171	5717	5683	4173	5714	5687	5682	5709	5705	5691	9491	4172	9861	5702	4176	5693	5692	5715	10197	5701	51053	5716	5708	5718	5689	5694	4174	5719	5695	5720	5711	5710	5721	5684	5688	4175	5707	5690	5699	10213	55388	5704
CARNITINE_SYNTHESIS|8424	223	6470	55217
PEPTIDE_LIGAND-BINDING_RECEPTORS|387129	4922	594857	2532	187	51052	5443	885	2147	6750	51083	8862	2834	5368	4987	7201	2837	4295	4158	3827	718	2862	719	3814	7200	2852	727	84634	183	728
ASTROCYTIC_GLUTAMATE-GLUTAMINE_UPTAKE_AND_METABOLISM|81539	2752
REGULATION_OF_ACTIVATED_PAK-2P34_BY_PROTEASOME_MEDIATED_DEGRADATION|9861	5702	5718	5682	5721	10197	5705	5691	7314	5707	5714	9491	5701	5708	5709	5700	5717	5693	5688	5704	100009535	5686	5711	10213	5720	5695	5710	5689	5719	5694	5692	5716	5713	5683	5699	5698	5687	5685	5715	5696	5690	5684	5706
CONJUGATION_OF_BENZOATE_WITH_GLYCINE|10249
REGULATION_OF_APOPTOSIS|5062
ACTIVATION_OF_CAMK_IV|814	808
TRANSPORT_OF_INORGANIC_CATIONS-ANIONS_AND_AMINO_ACIDS-OLIGOPEPTIDES|153201	140679	206358
PURINE_CATABOLISM|22978	30833	4860	4907	9615	7498	93034	84618	2876
STEROLS_ARE_12-HYDROXYLATED_BY_CYP8B1|1582
INFLUENZA_LIFE_CYCLE|956532	956527
A_THIRD_PROTEOLYTIC_CLEAVAGE_RELEASES_NICD|4854	55851	4855	4853	4851
DUAL_INCISION_REACTION_IN_GG-NER|2965	7507	2073	2968	7508	6118	6117	2067	2072	728340	1643	2068	2967	2071	6119	1642	5887
NADE_MODULATES_DEATH_SIGNALLING|4804	27018	7531
HORMONE-SENSITIVE_LIPASE_(HSL)-MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS|51099	2167	11343	3991	5346	857
RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER|661	5435	5434	6908	5451	6619	11128	55290	171568	11178	5440	5437	55718	55814	7702	6618	55703	6617	10621	6621	5441	10302
ADENYLATE_CYCLASE_ACTIVATING_PATHWAY|2774
GLUCOSE_TRANSPORT|2538	2542	6513	6514
RNA_POL_II_CTD_PHOSPHORYLATION_AND_INTERACTION_WITH_CE|8731	728340	2968	2965	2071	2967	2068	8732
EUKARYOTIC_TRANSLATION_INITIATION|23521	9349	6134	6139	6156	6129	9045	4736	6146	6181	6173	6144	6152	6167	6130	6164	6133	6175	6137	25873	6132	6169	6154	6160	7311	6143	6125	6123	6128	6142	6158	6122	6136	6147	51121	6155	6165	6157	6176	6124	6141	6170	6135	6168	6161	6159	6171	11224	6138
TRANSPORT_OF_HA_TRIMER,_NA_TETRAMER_AND_M2_TETRAMER_FROM_THE_ENDOPLASMIC_RETICULUM_TO_THE_GOLGI_APPARATUS|956528	956530	956529
ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1|6714	1432	5321	2782	5028	54331
REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS|256297	2255	3651	4825	3175	390874
VASOPRESSIN-LIKE_RECEPTORS|551	5021	5020	554
BIOTIN_METABOLISM|8884
TRANSLESION_SYNTHESIS_BY_POL_ETA|5429
FATTY_ACIDS|66002	1580	1579	1573
PROCESSIVE_SYNTHESIS_ON_THE_C-STRAND_OF_THE_TELOMERE|57804	3978	5424	10714	5425
VRNP_ASSEMBLY|956531	956535	956534	956536	3843	3320
COPII_(COAT_PROTEIN_2)_MEDIATED_VESICLE_TRANSPORT|10484	22872	6396	51128	10113
BINDING_AND_ENTRY_OF_HIV_VIRION|920	5478
REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA-CARBOXYLATED_PROTEINS|2621	5045	2158	2147	5624	8858	2159	5627	2155
ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME-MEDIATED_CLEAVAGE|836	840
MATURE_NOTCH_RECEPTOR_TRAFFICKS_TO_PLASMA_MEMBRANE|4854	4851	4853	4855
P75NTR_SIGNALS_VIA_NF-KB|7189	7314	8878	3654
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP-BINDING_COMPLEX_AND_EIFS,_AND_SUBSEQUENT_BINDING_TO_43S|1975	7458	1977	1981	1973	1978	1974
REGULATION_OF_PYRUVATE_DEHYDROGENASE_(PDH)_COMPLEX|8050
NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE|4128	6804	6844	10815	6812	5864	22999	6857	6571	6616	6582
RNA_POLYMERASE_I_PROMOTER_ESCAPE|7343	54700
APC-C-CDC20_MEDIATED_DEGRADATION_OF_SECURIN|5718	5686	5717	5688	5695	5701	5692	5714	5696	5707	5709	9861	7314	991	5721	5700	5699	5682	5716	5687	5719	9232	5690	5702	10213	5708	5683	5715	5698	10197	5685	5713	5691	5705	5693	5711	5710	5684	5720	5689	5694	5704	5706	9491
RECRUITMENT_OF_REPAIR_AND_SIGNALING_PROTEINS_TO_DOUBLE-STRAND_BREAKS|7158	9656	3014	472	672
PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND|10714	57804	5425	5424	3978
NEF_MEDIATED_DOWNREGULATION_OF_CD28_CELL_SURFACE_EXPRESSION|940	1173
GLUCAGON-TYPE_LIGAND_RECEPTORS|116	2642	6343	2740	7432	2691	2641	117	2695	2696	9340	2692	6344
NEUROFASCIN_INTERACTIONS|1641	6386	8506	23114	1272	286	4897
FORMATION_OF_HIV-1_ELONGATION_COMPLEX_IN_THE_ABSENCE_OF_HIV-1_TAT|905	904	2967	11198	6749	2068	22916	9150	728340	2965	2071	2968	6924	4686	1025	6917	8178
BETA_OXIDATION_OF_MYRISTOYL-COA_TO_LAUROYL-COA|3032	33	3030
COLLAGEN_ADHESION_VIA_ALPHA_2_BETA_1_GLYCOPROTEIN|3688	3673
BETA-OXIDATION_OF_PRISTANOYL-COA|6342	54677	23600	1384	3295	8310	10005	8309
OPSINS|94233
CDT1_ASSOCIATION_WITH_THE_CDC6-ORC-ORIGIN_COMPLEX|10197	5683	5691	5684	5711	5686	5714	5706	5699	5689	51053	5685	5698	5700	5696	5715	5718	5710	10213	5720	5688	5704	5701	5687	5707	5690	9491	5717	7314	81620	5705	5682	5713	990	5694	5709	5692	9861	5693	5721	5716	5708	5695	5719	5702
SEMA3A-PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION|2534	2242	7094	23396	8829	5879	6237	27289	10371	9855
CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES|10380	6817	6822	6820	6818	6783
UREA_CYCLE|1373	383	162417	384	5009	435	445
CONJUGATION_OF_CARBOXYLIC_ACIDS|10249
ENZYMATIC_DEGRADATION_OF_DOPAMINE_BY_COMT|4128	1312
SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS|80270	10998	1582	9023	1109	23600	1593	11001	9420	6718
NA+-CL-_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS|6534	6539	54716	6533	11254	55117	6530	340024	6582	6531	348932
ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA|5533	7529	207	637	5534	572	596
RESOLUTION_OF_D-LOOP_STRUCTURES_THROUGH_HOLLIDAY_JUNCTION_INTERMEDIATES|3978
RNA_POLYMERASE_II_PRE-TRANSCRIPTION_EVENTS|6874	2071	5441	5430	6923	904	2959	6884	6880	6827	6908	6924	2960	6749	2967	6875	5436	728340	5439	9150	5432	25920	2962	5437	1025	2957	5434	6872	905	2968	2963	5431	51497	2965	6878	5440	7936	6881	6883	6917	6882	2958	5435	7469	11198	6921	6877	5438	5433	8178	2068	2961
SEROTONIN_AND_MELATONIN_BIOSYNTHESIS|1644	15
NUCLEAR_EVENTS_(KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION)|9252
MINUS-STRAND_DNA_SYNTHESIS|5478
FORMATION_AND_MATURATION_OF_MRNA_TRANSCRIPT|2967	2965	2068	2071	2968	728340
CRMPS_IN_SEMA3A_SIGNALING|2242	2932	8851	10371	8829	1020
ORGANIC_CATION_TRANSPORT|5002	6580	6582	6583	6581
SIGNALING_BY_ROBO_RECEPTOR|2817	6091	9353	5879
ALPHA-OXIDATION_OF_PHYTANATE|11001	10478	5264
REV-MEDIATED_NUCLEAR_EXPORT_OF_HIV-1_RNA|129401	7514	23225	5905	5901	10762	9883	9972	81929	7175	8480	23511	1104	4928	8086	5903	11097	9688	23165	79902	4927	9631	5902	8021	348995
NGF_PROCESSING|4803
ORGANIC_ANION_TRANSPORT|116085
MRNA_SPLICING|6426	6431	6427	6432
FUSION_AND_UNCOATING_OF_THE_INFLUENZA_VIRION|956532	956527
REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN|11097	9688	9972	2646	5903	79902	8480	4927	9883	8021	23225	8086	23165	348995	81929	9631	23511	2645	129401	4928	10762	7175
TRANSPORT_OF_VITAMINS,_NUCLEOSIDES,_AND_RELATED_MOLECULES|9197	8884
HEME_BIOSYNTHESIS|5498	7390	2235	1371	7389	210
RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE|4350	4968	4595
REGULATION_OF_INSULIN_SECRETION_BY_FATTY_ACIDS_BOUND_TO_GPR40_(FFAR1)|2864
COENZYME_A_BIOSYNTHESIS|79717	60490	80347	8034	80025
CYP2E1_REACTIONS|1571
CDC6_ASSOCIATION_WITH_THE_ORC-ORIGIN_COMPLEX|990	23595	23594	5000	5001	4998
BH3-ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI-APOPTOTIC_BCL-2_MEMBERS|596	598	637
SEMA3A_PAK_DEPENDENT_AXON_REPULSION|1072	3984
NOTCH-HLH_TRANSCRIPTION_PATHWAY|22938	8850	1387
DEATH_RECEPTOR__SIGNALLING|8772	841	843
PHOSPHORYLATION_OF_PROTEINS_INVOLVED_IN_THE_G2-M_TRANSITION_BY_CYCLIN_A-CDC2_COMPLEXES|890	983	8900
KETONE_BODY_METABOLISM|622
5-PHOSPHORIBOSE_1-DIPHOSPHATE_BIOSYNTHESIS|5631
S6K1-MEDIATED_SIGNALLING|64223	6198	2475	57521
UNWINDING_OF_DNA|4172	4176	51659	8318	4173	84515	4174	84296	9837	4175	4171
GLYCOLYSIS|5207	5230	7167	2821
FORMATION_OF_TRANSCRIPTION-COUPLED_NER_(TC-NER)_REPAIR_COMPLEX|5440	2968	2071	5434	5441	2967	5435	5438	2073	2067	2072	5430	5433	5437	5436	5431	2074	6917	728340	2965	5432	2068	5439	1161	56949
PHOSPHO-PLA2_PATHWAY|5321
CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE|1385	5567
ERK-MAPK_TARGETS|5598	9252
ACTIVATION_AND_OLIGOMERIZATION_OF_BAK_PROTEIN|637	578
SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI-_AND_TRIPHOSPHATES|2987	51727	7295	204	203	2745	2936	26289	1503	1841	7296	4833	56474
CAP-DEPENDENT_TRANSLATION_INITIATION|6167	6136	6147	8668	7458	8894	8666	6139	6173	8662	6156	6157	8661	6134	6176	6124	6170	6123	8667	1981	6144	6143	9045	1964	6169	6125	1974	4736	51121	6154	1983	6165	6137	7311	8664	8669	9349	6133	6164	1975	6132	27335	8665	6159	6146	6161	6152	6128	11224	1973	8663	6181	25873	6141	1977	1965	6129	6175	6160	6135	6142	3646	6122	1968	6130	6138	6168	6158	6171	6155	23521
PRESYNAPTIC_PHASE_OF_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE|6117	5893	675	6119	5888	6118
RNA_POLYMERASE_I_PROMOTER_CLEARANCE|54700	7343
DOWNSTREAM_TCR_SIGNALING|50852	7334	6885	4792	23118	920	3635	3551	3932	4790	7189	1147	10892	8767	5970	84433	5170	8915	7335	8517	5728	5588
DEPURINATION|4350	4595	4968
ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE-REPLICATIVE_COMPLEX|81620	4998	51053	990	7314	5000
CHEMOKINE_RECEPTORS_BIND_CHEMOKINES|6370	6364	643	2826	6387	6376	2829	10563	6360	1235	51554	58191	10663	1236	6352	1238	3577	3579
HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION-INDEPENDENT_DOUBLE-STRAND_BREAKS|472
SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24-HYDROXYCHOLESTEROL|10998	23600	80270	1593	1582	11001	51302	1109	6718	10858
DNA_DAMAGE_RECOGNITION_IN_GG-NER|5887	7508
REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_(BRANCHING_MORPHOGENESIS)_PANCREATIC_BUD_PRECURSOR_CELLS|50674	4851	3280	390874	3175
MTORC1-MEDIATED_SIGNALLING|2475	57521	64223
MRNA_3'-END_PROCESSING|8106	8683	10914	6429	10978	1479	1478	6432	11338	9785	29894	6431	6426	6430	11051	9295	51585	7307	6428	53981	6427	79869	1477	51362	51692
THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR|2782	6915	54331	10672
P38MAPK_EVENTS|6714	5900
FORMATION_OF_THE_EDITOSOME|339
CHL1_INTERACTIONS|286	10752	8829	10963	27255
SYNTHESIS,_SECRETION,_AND_DEACYLATION_OF_GHRELIN|51738	90701	3630	9314	3479	3479	28972	3952	23478	2688	7941	5122	619373	590	2641	60559	9789
TOLL_LIKE_RECEPTOR_10_(TLR10)_CASCADE|81793
DEPOSITION_OF_NEW_CENPA-CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE|55320	5931	51773	55355	55166	54069	64946	5928	23421	2491	8467	401541	11339	64105	57082	79682	8607	79172	55839	4869
TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS|5903	956534	23511	3836	9631	129401	4927	11097	9972	79902	956536	956531	10762	8021	3837	23165	9883	8480	81929	8086	9688	23225	4928	956535	7175	348995
GAB1_SIGNALOSOME|5295	2549	5290	6714	5781	55824	1445	2885	5829
CLASS_C-3_(METABOTROPIC_GLUTAMATE-PHEROMONE_RECEPTORS)|83756	80834	9568	2550	222545	80835	846
PROTON-COUPLED_NEUTRAL_AMINO_ACID_TRANSPORTERS|153201	206358
M_PHASE|10735	9126	9985	10274	5885	8243	5347
CATECHOLAMINE_BIOSYNTHESIS|5409	1644	1621
ASSEMBLY_OF_VIRAL_COMPONENTS_AT_THE_BUDDING_SITE|956530	956529	821	956531	811	956528	956527
VIF-MEDIATED_DEGRADATION_OF_APOBEC3G|5715	5688	5717	5705	10197	5682	5706	5683	5718	7314	5696	10213	5690	5708	5691	5692	6923	5687	5711	5716	8065	5700	5714	5684	5685	6921	5699	5709	9491	5698	5713	5689	5704	5693	5719	5702	5707	5701	5721	5720	9861	5695	9978	5694	5710	5686
TRAFFICKING_OF_GLUR2-CONTAINING_AMPA_RECEPTORS|163	9463	4905	1173	1175
GLYOXYLATE_METABOLISM|9380
GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE|6616	54407	5864	10815	10497	6857	6812	22999	57030	6804	6844
NCAM1_INTERACTIONS|5621	2674	375790	1463	6900	4684
ASSEMBLY_OF_THE_RAD50-MRE11-NBS1_COMPLEX_AT_DNA_DOUBLE-STRAND_BREAKS|4361	10111	3014	4683
PURINE_SALVAGE|3251	1633	4860	100	1716	132	353
BETA_OXIDATION_OF_HEXANOYL-COA_TO_BUTANOYL-COA|3033	35	1892	3030	3032
INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION|956534	956535	956536	956531
HDL-MEDIATED_LIPID_TRANSPORT|19	649	9619	344	949	8029	5360	213	335	81693	348	2	345	1071	3931
CREATINE_METABOLISM|2628	2593	6535
SHC_ACTIVATION|6464
HYPUSINE_SYNTHESIS_FROM_EIF5A-LYSINE|1725	83475
FGFR1C_LIGAND_BINDING_AND_ACTIVATION|867	2885	6383	2260
AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS|3164	6199	1385	207
ASSEMBLY_OF_THE_RAD51-SSDNA_NUCLEOPROTEIN_COMPLEX|5893	5888
ACTIVATION_OF_BH3-ONLY_PROTEINS|1869	7027	5599
PLC-MEDIATED_HYDROLYSIS_OF_PIP2|5336
PI3K-AKT_SIGNALLING|253260	64223	5170	2475	4914	207	117145	57761	387
CRNA_SYNTHESIS|956536	956534	956531	956535
MITOCHONDRIAL_FATTY_ACID_BETA-OXIDATION_OF_SATURATED_FATTY_ACIDS|35	34	3030	1892	3032	3033	33
FORMATION_OF_HIV-1_ELONGATION_COMPLEX_CONTAINING_HIV-1_TAT|22916	2967	2965	904	11198	6917	1025	728340	2968	4686	2071	6749	2068	6924	8178	9150
PROCESSING_OF_CAPPED_INTRON-CONTAINING_PRE-MRNA|3188	10949	5094	27316	3191	3192	3184	56339	10236	3187	220988	3183	3190	5093	3178	5725	3185	3181	4670
G_ALPHA_(S)_SIGNALLING_EVENTS|54331	2778	2782
INTERACTIONS_OF_TAT_WITH_HOST_CELLULAR_PROTEINS|1025	904
DIGESTION_OF_DIETARY_LIPID|1208	5406	5408
EUKARYOTIC_TRANSLATION_TERMINATION|2107	23708
ACETYLATION|9	10
FATTY_ACID,_TRIACYLGLYCEROL,_AND_KETONE_BODY_METABOLISM|2820
BETA_OXIDATION_OF_OCTANOYL-COA_TO_HEXANOYL-COA|3032	34	1892	3033	3030
APC-C-CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B|891	7314	983	991
GOLGI_ASSOCIATED_VESICLE_BIOGENESIS|9685	3312	152503	84062	388552	9698	8775	26258	9829	2647	6456	162	164	55330	1211	408	1785	1213	375	81567
RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES|4926	891	983
PLUS-STRAND_DNA_SYNTHESIS|5478
FORMATION_OF_THE_ACTIVE_COFACTOR,_UDP-GLUCURONATE|7360	7358	23169
RNA_POLYMERASE_II_TRANSCRIPTION_INITIATION|2959
INFLUENZA_VIRUS_INDUCED_APOPTOSIS|7040	293	3802042	956530
L13A-MEDIATED_TRANSLATIONAL_SILENCING_OF_CERULOPLASMIN_EXPRESSION|6143	6136	1975	9349	26986	6171	6139	4736	7458	6176	9045	6159	6147	6142	25873	6158	6170	6175	6161	6152	6128	6125	6155	6160	6137	6141	6181	6157	6156	6173	6164	6154	6169	6165	6144	6123	6168	6167	6134	6124	11224	6135	6130	6133	6146	23521	6138	6122	6129	51121	6132	7311
ELONGATION_ARREST_AND_RECOVERY|6917	8178	9150
PD-1_SIGNALING|5133	920	3932
AROMATIC_AMINES_CAN_BE_N-HYDROXYLATED_OR_N-DEALKYLATED_BY_CYP1A2|1544
DCC_MEDIATED_ATTRACTIVE_SIGNALING|9423	8976	1630	5747	4690	5879	998
BILE_ACID_AND_BILE_SALT_METABOLISM|10998
FORMATION_OF_THE_TERNARY_COMPLEX,_AND_SUBSEQUENTLY,_THE_43S_COMPLEX|1964	8894	1965	1968
